title,author
Boulder,"Eva Baltasar"
Whale,"Cheon Myeong-Kwan"
"The Gospel According to the New World","Maryse Condé"
"Standing Heavy",Gauz
"Time Shelter","Georgi Gospodinov"
"Is Mother Dead","Vigdis Hjorth"
"Jimi Hendrix Live in Lviv","Andrey Kurkov"
"The Birthday Party","Laurent Mauvignier"
"While We Were Dreaming","Clemens Meyer"
Pyre,"Perumal Murugan"
"Still Born","Guadalupe Nettel"
"A System So Magnificent It Is Blinding","Amanda Svensson"
"Ninth Building","Zou Jingzhi"
Paradais,"Fernanda Melchor"
Heaven,"Mieko Kawakami"
"Love in the Big City","Sang Young Park"
"Happy Stories, Mostly","Norman Erikson Pasaribu"
"Elena Knows","Claudia Piñeiro"
"The Book of Mother","Violaine Huisman"
"More Than I Love My Life","David Grossman"
Phenotypes,"Paulo Scott"
"A New Name: Septology VI-VII","Jon Fosse"
"After the Sun","Jonas Eika"
"Tomb of Sand","Geentanjali Shree"
"The Books of Jacob","Olga Tokarczuk"
"Cursed Bunny","Bora Chung"
"The War of the Poor","Éric Vuillard"
"When We Cease to Understand the World","Benajamín Labatut"
Wretchedness,"Andrzej Tichy"
"An Inventory of Losses","Judith Schalansky"
"At Night All Blood is Black","David Diop"
"I Live in the Slums","Can Xue"
"In Memory of Memory","Maria Stepanova"
"Minor Detail","Adania Shibli"
"Summer Brother","Jaap Robben"
"The Dangers of Smoking in Bed","Mariana Enríquez"
"The Employees","Olga Ravn"
"The Pear Field","Nana Ekvtimishvili"
"The Perfect Nine","Ngũgĩ wa Thiong'o"
"The Adventures of China Iron","Gabriela Cabezón Cámara"
"The Discomfort of Evening","Marieke Lucas Rijneveld"
"The Eighth Life","Nino Haratischvili"
"The Enlightenment of The Greengage Tree","Shokoofeh Azar"
"The Memory Police","Yōko Ogawa"
"The Other Name: Septology I-II","Jon Fosse"
Tyll,"Daniel Kehlmann"
"Faces on the Tip of My Tongue","Emmanuelle Pagano"
"Hurricane Season","Fernanda Melchor"
"Little Eyes","Samanta Schweblin"
"Mac and His Problem","Enrique Vila-Matas"
"Red Dog","Willem Anker"
Serotonin,"Michel Houellebecq"
"At Dusk","Hwang Sok-yong"
"Celestial Bodies","Jokha Alharthi"
"Drive Your Plow Over the Bones of the Dead","Olga Tokarczuk"
"Four Soldiers","Hubert Mingarelli"
"Jokes for the Gunmen","Mazen Maarouf"
"Love in the New Millennium","Can Xue"
"Mouthful of Birds","Samanta Schweblin"
"The Death of Murat Idrissi","Tommy Wieringa"
"The Faculty of Dreams","Sara Stridsberg"
"The Pine Islands","Marion Poschmann"
"The Remainder","Alia Trabucco Zerán"
"The Shape of the Ruins","Juan Gabriel Vásquez"
"The Years","Annie Ernaux"
"Frankenstein in Baghdad","Ahmed Saadawi"
"Go, Went, Gone","Jenny Erpenbeck"
"Like a Fading Shadow","Antonio Muñoz Molina"
"The 7th Function of Language","Laurent Binet"
"The Dinner Guest","Gabriela Ybarra"
"The Flying Mountain","Christoph Ransmayr"
"The Impostor","Javier Cercas"
"The Stolen Bicycle","Wu Ming-Yi"
"The White Book","Han Kang"
"The World Goes On","László Krasznahorkai"
"Vernon Subutex 1","Virginie Despentes"
"Die, My Love","Ariana Harwicz"
Flights,"Olga Tokarczuk"
